timesteps;temperature;relative_humidity;precipitation_amount;wind;global_radiation
2022-08-01 00:10:00;18.34;94.82;0.0;1.01;0.0
2022-08-01 00:20:00;18.34;95.05;0.0;1.01;0.0
2022-08-01 00:30:00;18.32;94.89;0.0;1.13;0.01
2022-08-01 00:40:00;18.32;94.96;0.0;1.13;0.01
2022-08-01 00:50:00;18.31;94.73;0.0;1.32;0.0
2022-08-01 01:00:00;18.26;94.38;0.0;1.13;0.0
2022-08-01 01:10:00;18.24;94.23;0.0;0.91;0.0
2022-08-01 01:20:00;18.22;94.13;0.0;1.12;0.0
2022-08-01 01:30:00;18.26;93.96;0.0;1.0;0.0
2022-08-01 01:40:00;18.27;94.01;0.0;1.13;0.0
2022-08-01 01:50:00;18.27;93.46;0.0;1.09;0.0
2022-08-01 02:00:00;18.27;92.26;0.0;1.07;0.03
2022-08-01 02:10:00;18.3;92.38;0.0;1.07;0.0
2022-08-01 02:20:00;18.32;92.66;0.0;1.04;0.0
2022-08-01 02:30:00;18.33;92.92;0.0;1.17;0.0
2022-08-01 02:40:00;18.28;93.67;0.0;1.03;0.0
2022-08-01 02:50:00;18.23;94.09;0.0;1.14;0.02
2022-08-01 03:00:00;18.19;94.04;0.0;1.22;0.02
2022-08-01 03:10:00;18.11;93.6;0.0;1.2;0.02
2022-08-01 03:20:00;18.08;93.4;0.0;1.39;0.0
2022-08-01 03:30:00;18.05;93.43;0.0;1.27;0.0
2022-08-01 03:40:00;18.01;93.6;0.0;1.17;0.01
2022-08-01 03:50:00;17.99;93.59;0.0;1.21;0.01
2022-08-01 04:00:00;18.0;93.55;0.0;0.9;0.25
2022-08-01 04:10:00;17.98;93.47;0.0;1.0;0.35
2022-08-01 04:20:00;17.95;93.1;0.0;1.03;0.95
2022-08-01 04:30:00;17.94;92.95;0.0;0.93;1.39
2022-08-01 04:40:00;17.95;92.89;0.0;0.9;1.96
2022-08-01 04:50:00;17.95;92.41;0.0;1.13;2.8
2022-08-01 05:00:00;17.97;91.83;0.0;0.93;7.17
2022-08-01 05:10:00;17.99;91.99;0.0;0.99;9.36
2022-08-01 05:20:00;18.01;92.14;0.0;1.06;12.49
2022-08-01 05:30:00;18.04;92.09;0.0;1.17;17.94
2022-08-01 05:40:00;18.09;91.94;0.0;1.24;25.95
2022-08-01 05:50:00;18.03;91.9;0.0;1.13;18.02
2022-08-01 06:00:00;17.97;92.57;0.0;0.99;20.71
2022-08-01 06:10:00;17.83;93.53;0.0;1.11;21.8
2022-08-01 06:20:00;17.74;93.6;0.0;1.31;31.68
2022-08-01 06:30:00;17.72;93.47;0.0;1.18;45.78
2022-08-01 06:40:00;17.78;93.02;0.0;1.24;52.72
2022-08-01 06:50:00;17.84;91.21;0.0;1.68;67.72
2022-08-01 07:00:00;17.86;88.93;0.0;1.41;46.78
2022-08-01 07:10:00;17.99;88.99;0.0;1.16;96.66
2022-08-01 07:20:00;18.07;88.04;0.0;1.37;119.81
2022-08-01 07:30:00;18.17;87.02;0.0;1.06;87.27
2022-08-01 07:40:00;18.19;86.84;0.0;1.08;76.81
2022-08-01 07:50:00;18.13;86.26;0.0;1.11;69.97
2022-08-01 08:00:00;18.06;85.53;0.0;1.11;127.78
2022-08-01 08:10:00;18.12;85.32;0.0;1.16;100.86
2022-08-01 08:20:00;18.07;84.92;0.0;1.27;48.09
2022-08-01 08:30:00;17.79;84.67;0.0;1.39;69.21
2022-08-01 08:40:00;17.76;83.46;0.0;1.57;149.24
2022-08-01 08:50:00;17.92;81.12;0.0;1.36;174.42
2022-08-01 09:00:00;18.14;79.49;0.0;1.11;182.01
2022-08-01 09:10:00;18.42;77.44;0.0;1.21;183.94
2022-08-01 09:20:00;18.41;73.0;0.0;1.28;231.06
2022-08-01 09:30:00;18.42;69.01;0.0;1.68;600.64
2022-08-01 09:40:00;18.72;68.76;0.0;1.7;571.8
2022-08-01 09:50:00;18.83;68.42;0.0;1.41;593.7
2022-08-01 10:00:00;19.27;65.08;0.0;1.45;691.87
2022-08-01 10:10:00;19.86;58.91;0.0;1.69;692.24
2022-08-01 10:20:00;19.89;55.83;0.0;2.04;705.44
2022-08-01 10:30:00;20.26;58.22;0.0;1.77;707.81
2022-08-01 10:40:00;20.43;59.99;0.0;1.51;660.75
2022-08-01 10:50:00;20.6;61.16;0.0;1.69;454.54
2022-08-01 11:00:00;20.66;60.89;0.0;1.34;646.86
2022-08-01 11:10:00;20.91;59.83;0.0;1.57;756.88
2022-08-01 11:20:00;21.06;58.24;0.0;1.44;647.36
2022-08-01 11:30:00;21.29;54.92;0.0;1.43;660.79
2022-08-01 11:40:00;21.29;55.81;0.0;1.56;756.28
2022-08-01 11:50:00;21.61;53.1;0.0;1.85;770.7
2022-08-01 12:00:00;21.52;52.86;0.0;1.98;724.21
2022-08-01 12:10:00;21.73;50.39;0.0;1.6;738.45
2022-08-01 12:20:00;21.96;49.03;0.0;1.65;743.27
2022-08-01 12:30:00;22.03;47.17;0.0;1.75;766.89
2022-08-01 12:40:00;21.99;47.78;0.0;2.05;755.72
2022-08-01 12:50:00;21.98;47.68;0.0;1.61;747.01
2022-08-01 13:00:00;22.27;46.44;0.0;1.64;769.09
2022-08-01 13:10:00;22.36;44.98;0.0;1.67;669.14
2022-08-01 13:20:00;22.42;45.74;0.0;1.38;772.44
2022-08-01 13:30:00;22.26;45.81;0.0;1.72;695.59
2022-08-01 13:40:00;22.08;46.73;0.0;1.56;711.25
2022-08-01 13:50:00;21.87;47.21;0.0;1.87;688.98
2022-08-01 14:00:00;21.98;46.31;0.0;1.64;625.65
2022-08-01 14:10:00;21.83;46.1;0.0;1.81;532.03
2022-08-01 14:20:00;21.64;46.8;0.0;1.51;552.25
2022-08-01 14:30:00;21.67;44.91;0.0;1.7;551.96
2022-08-01 14:40:00;21.53;45.81;0.0;1.72;530.98
2022-08-01 14:50:00;21.59;45.2;0.0;1.83;543.46
2022-08-01 15:00:00;21.17;45.69;0.0;1.78;544.61
2022-08-01 15:10:00;20.98;45.74;0.0;1.7;550.12
2022-08-01 15:20:00;20.95;45.83;0.0;1.86;515.39
2022-08-01 15:30:00;20.89;46.1;0.0;1.76;416.38
2022-08-01 15:40:00;20.64;47.29;0.0;1.77;446.37
2022-08-01 15:50:00;20.6;47.27;0.0;1.98;450.58
2022-08-01 16:00:00;20.5;47.03;0.0;1.5;392.03
2022-08-01 16:10:00;20.46;47.73;0.0;1.51;357.04
2022-08-01 16:20:00;20.3;47.98;0.0;1.57;183.04
2022-08-01 16:30:00;20.03;48.74;0.0;1.38;134.56
2022-08-01 16:40:00;19.92;49.82;0.0;1.62;124.09
2022-08-01 16:50:00;19.85;49.95;0.0;1.63;114.6
2022-08-01 17:00:00;19.85;49.95;0.0;1.93;111.4
2022-08-01 17:10:00;19.67;50.6;0.0;1.88;108.5
2022-08-01 17:20:00;19.74;50.82;0.0;1.8;93.93
2022-08-01 17:30:00;19.66;51.04;0.0;1.64;104.11
2022-08-01 17:40:00;19.36;51.9;0.0;1.64;60.57
2022-08-01 17:50:00;19.45;51.42;0.0;1.83;85.66
2022-08-01 18:00:00;19.35;51.69;0.0;1.8;65.62
2022-08-01 18:10:00;19.04;52.5;0.0;1.36;39.72
2022-08-01 18:20:00;19.02;52.82;0.0;1.24;30.63
2022-08-01 18:30:00;18.93;52.77;0.0;1.49;25.5
2022-08-01 18:40:00;18.71;53.34;0.0;1.31;21.65
2022-08-01 18:50:00;18.48;53.53;0.0;1.55;20.01
2022-08-01 19:00:00;18.29;53.9;0.0;1.4;18.74
2022-08-01 19:10:00;18.22;53.74;0.0;1.26;16.97
2022-08-01 19:20:00;18.08;53.78;0.0;1.24;14.95
2022-08-01 19:30:00;17.9;54.61;0.0;1.18;12.05
2022-08-01 19:40:00;17.67;55.73;0.0;1.12;9.09
2022-08-01 19:50:00;17.5;56.84;0.0;1.13;5.6
2022-08-01 20:00:00;17.36;57.79;0.0;1.22;3.83
2022-08-01 20:10:00;17.16;58.77;0.0;1.07;2.3
2022-08-01 20:20:00;17.0;59.68;0.0;1.16;1.12
2022-08-01 20:30:00;16.83;60.53;0.0;0.9;0.46
2022-08-01 20:40:00;16.65;61.35;0.0;1.1;0.33
2022-08-01 20:50:00;16.48;62.19;0.0;0.91;0.06
2022-08-01 21:00:00;16.26;62.77;0.0;1.06;0.0
2022-08-01 21:10:00;16.1;63.22;0.0;1.0;0.0
2022-08-01 21:20:00;15.95;63.72;0.0;0.83;0.0
2022-08-01 21:30:00;15.79;64.3;0.0;0.96;0.0
2022-08-01 21:40:00;15.6;64.91;0.0;1.17;0.02
2022-08-01 21:50:00;15.45;65.5;0.0;0.98;0.0
2022-08-01 22:00:00;15.36;65.75;0.0;1.09;0.0
2022-08-01 22:10:00;15.27;66.18;0.0;1.05;0.0
2022-08-01 22:20:00;15.09;66.7;0.0;1.16;0.0
2022-08-01 22:30:00;15.01;66.96;0.0;0.97;0.0
2022-08-01 22:40:00;14.89;67.42;0.0;1.0;0.0
2022-08-01 22:50:00;14.77;67.95;0.0;0.85;0.01
2022-08-01 23:00:00;14.74;68.02;0.0;1.11;0.0
2022-08-01 23:10:00;14.61;68.59;0.0;1.01;0.01
2022-08-01 23:20:00;14.55;68.85;0.0;0.92;0.0
2022-08-01 23:30:00;14.48;69.18;0.0;1.0;0.0
2022-08-01 23:40:00;14.44;69.37;0.0;0.88;0.0
2022-08-01 23:50:00;14.39;69.68;0.0;0.89;0.0
2022-08-02 00:00:00;14.28;70.12;0.0;0.8;0.0
2022-08-02 00:10:00;14.21;70.33;0.0;0.87;0.0
2022-08-02 00:20:00;14.13;70.76;0.0;0.85;0.0
2022-08-02 00:30:00;14.05;71.06;0.0;0.76;0.0
2022-08-02 00:40:00;13.99;71.42;0.0;0.76;0.0
2022-08-02 00:50:00;13.93;71.79;0.0;0.8;0.0
2022-08-02 01:00:00;13.82;72.24;0.0;0.83;0.01
2022-08-02 01:10:00;13.84;72.29;0.0;0.64;0.0
2022-08-02 01:20:00;13.81;72.42;0.0;0.72;0.01
2022-08-02 01:30:00;13.75;72.6;0.0;0.6;0.0
2022-08-02 01:40:00;13.75;72.55;0.0;0.63;0.02
2022-08-02 01:50:00;13.75;72.43;0.0;0.73;0.0
2022-08-02 02:00:00;13.73;72.51;0.0;0.71;0.0
2022-08-02 02:10:00;13.66;72.95;0.0;0.73;0.0
2022-08-02 02:20:00;13.54;73.78;0.0;0.6;0.01
2022-08-02 02:30:00;13.48;74.68;0.0;0.41;0.0
2022-08-02 02:40:00;13.5;75.95;0.0;0.43;0.0
2022-08-02 02:50:00;13.61;77.59;0.0;0.44;0.0
2022-08-02 03:00:00;13.45;78.78;0.0;0.67;0.0
2022-08-02 03:10:00;13.2;80.13;0.0;0.68;0.0
2022-08-02 03:20:00;13.12;80.88;0.0;0.57;0.01
2022-08-02 03:30:00;12.98;81.43;0.0;0.58;0.01
2022-08-02 03:40:00;12.88;81.66;0.0;0.62;0.0
2022-08-02 03:50:00;12.78;82.19;0.0;0.51;0.05
2022-08-02 04:00:00;12.68;82.57;0.0;0.48;0.33
2022-08-02 04:10:00;12.62;82.87;0.0;0.58;0.99
2022-08-02 04:20:00;12.6;83.01;0.0;0.63;1.6
2022-08-02 04:30:00;12.6;83.18;0.0;0.61;1.97
2022-08-02 04:40:00;12.68;83.11;0.0;0.46;2.72
2022-08-02 04:50:00;12.9;83.21;0.0;0.39;4.86
2022-08-02 05:00:00;13.14;82.23;0.0;0.41;8.13
2022-08-02 05:10:00;13.29;81.18;0.0;0.34;12.42
2022-08-02 05:20:00;13.42;80.06;0.0;0.6;12.02
2022-08-02 05:30:00;13.47;79.8;0.0;0.58;9.56
2022-08-02 05:40:00;13.52;79.79;0.0;0.54;9.75
2022-08-02 05:50:00;13.61;79.44;0.0;0.51;9.35
2022-08-02 06:00:00;13.62;78.74;0.0;0.41;16.19
2022-08-02 06:10:00;13.72;77.72;0.0;0.55;31.73
2022-08-02 06:20:00;13.94;78.03;0.0;0.47;34.0
2022-08-02 06:30:00;14.08;77.94;0.0;0.78;36.28
2022-08-02 06:40:00;14.08;78.53;0.0;0.8;42.8
2022-08-02 06:50:00;14.22;76.21;0.0;0.94;50.78
2022-08-02 07:00:00;14.28;72.71;0.0;0.95;45.75
2022-08-02 07:10:00;14.54;71.42;0.0;0.89;45.42
2022-08-02 07:20:00;14.7;69.89;0.0;1.48;61.4
2022-08-02 07:30:00;14.89;70.1;0.0;1.23;68.88
2022-08-02 07:40:00;15.13;69.39;0.0;1.01;69.63
2022-08-02 07:50:00;15.2;69.11;0.0;1.41;78.94
2022-08-02 08:00:00;15.38;69.01;0.0;1.01;77.56
2022-08-02 08:10:00;15.52;67.88;0.0;1.09;85.85
2022-08-02 08:20:00;15.65;67.71;0.0;1.12;270.57
2022-08-02 08:30:00;15.9;66.03;0.0;1.33;537.03
2022-08-02 08:40:00;16.06;66.13;0.0;1.17;552.5
2022-08-02 08:50:00;16.34;65.55;0.0;1.22;583.26
2022-08-02 09:00:00;16.67;64.37;0.0;1.25;569.52
2022-08-02 09:10:00;17.34;60.64;0.0;0.7;615.1
2022-08-02 09:20:00;17.6;58.93;0.0;0.99;653.65
2022-08-02 09:30:00;18.01;57.36;0.0;0.91;650.38
2022-08-02 09:40:00;18.04;56.9;0.0;1.03;661.59
2022-08-02 09:50:00;18.2;55.23;0.0;1.25;669.95
2022-08-02 10:00:00;18.52;54.7;0.0;0.99;671.51
2022-08-02 10:10:00;19.03;52.94;0.0;0.98;677.12
2022-08-02 10:20:00;19.26;52.36;0.0;1.12;679.97
2022-08-02 10:30:00;20.03;49.74;0.0;0.88;706.72
2022-08-02 10:40:00;20.16;49.94;0.0;0.93;696.0
2022-08-02 10:50:00;20.63;48.31;0.0;1.07;720.51
2022-08-02 11:00:00;20.86;47.84;0.0;1.1;743.82
2022-08-02 11:10:00;21.02;46.2;0.0;1.08;757.42
2022-08-02 11:20:00;21.52;43.27;0.0;1.31;742.96
2022-08-02 11:30:00;21.96;40.96;0.0;0.9;768.62
2022-08-02 11:40:00;22.32;39.53;0.0;0.98;770.64
2022-08-02 11:50:00;22.66;37.01;0.0;0.94;775.07
2022-08-02 12:00:00;22.78;37.83;0.0;1.28;762.49
2022-08-02 12:10:00;23.13;38.96;0.0;0.95;776.62
2022-08-02 12:20:00;23.5;37.39;0.0;1.0;736.82
2022-08-02 12:30:00;23.25;38.26;0.0;1.5;755.71
2022-08-02 12:40:00;23.01;38.45;0.0;1.87;642.67
2022-08-02 12:50:00;23.39;37.71;0.0;1.2;590.51
2022-08-02 13:00:00;23.75;37.44;0.0;1.12;617.23
2022-08-02 13:10:00;24.08;36.78;0.0;1.19;607.72
2022-08-02 13:20:00;23.87;37.94;0.0;1.34;659.41
2022-08-02 13:30:00;23.92;38.31;0.0;1.82;640.9
2022-08-02 13:40:00;24.55;36.63;0.0;1.04;697.06
2022-08-02 13:50:00;24.51;37.31;0.0;1.51;614.48
2022-08-02 14:00:00;24.72;35.86;0.0;1.21;434.6
2022-08-02 14:10:00;24.89;33.54;0.0;1.47;502.34
