timesteps;temperature;wind;precipitation_amount;precipitation_duration;cloud_cover;sunshine_duration;apparent_temperature
2022-08-01 00:10:00;17.72;1.63;0.0;0;7.0;0.0;13.63
2022-08-01 00:20:00;17.86;1.65;0.0;0;7.0;0.0;13.73
2022-08-01 00:30:00;18.14;2.17;0.0;0;7.3;0.0;13.62
2022-08-01 00:40:00;18.33;2.57;0.0;0;8.0;0.0;13.56
2022-08-01 00:50:00;18.39;2.29;0.0;0;8.0;0.0;13.73
2022-08-01 01:00:00;18.4;2.11;0.0;0;8.0;0.0;13.86
2022-08-01 01:10:00;18.4;3.74;0.0;0;8.0;0.0;13.17
2022-08-01 01:20:00;18.38;3.13;0.0;0;8.0;0.0;13.3
2022-08-01 01:30:00;18.41;3.08;0.0;0;8.0;0.0;13.32
2022-08-01 01:40:00;18.46;3.56;0.0;2;8.0;0.0;13.2
2022-08-01 01:50:00;18.35;2.46;0.0;2;8.0;0.0;13.55
2022-08-01 02:00:00;18.41;3.05;0.0;0;8.0;0.0;13.33
2022-08-01 02:10:00;18.49;2.64;0.0;0;8.0;0.0;13.55
2022-08-01 02:20:00;18.48;2.77;0.0;0;8.0;0.0;13.46
2022-08-01 02:30:00;18.5;2.68;0.0;0;8.0;0.0;13.52
2022-08-01 02:40:00;18.53;3.18;0.0;0;8.0;0.0;13.36
2022-08-01 02:50:00;18.32;3.68;0.0;2;8.0;0.0;13.09
2022-08-01 03:00:00;18.25;3.93;0.0;3;8.0;0.0;12.95
2022-08-01 03:10:00;18.28;3.89;0.0;0;8.0;0.0;12.97
2022-08-01 03:20:00;18.24;4.07;0.0;3;8.0;0.0;12.9
2022-08-01 03:30:00;18.12;4.45;0.0;9;8.0;0.0;12.71
2022-08-01 03:40:00;18.03;3.93;0.0;9;8.0;0.0;12.77
2022-08-01 03:50:00;17.99;3.33;0.0;2;8.0;0.0;12.88
2022-08-01 04:00:00;18.04;4.26;0.0;0;8.0;0.0;12.59
2022-08-01 04:10:00;18.07;3.76;0.0;0;8.0;0.0;12.76
2022-08-01 04:20:00;18.08;3.43;0.0;0;8.0;0.0;12.83
2022-08-01 04:30:00;18.05;3.44;0.0;0;8.0;0.0;12.8
2022-08-01 04:40:00;18.06;3.45;0.0;0;8.0;0.0;12.83
2022-08-01 04:50:00;18.06;2.93;0.0;0;8.0;0.0;12.97
2022-08-01 05:00:00;18.09;2.67;0.0;0;8.0;0.0;13.14
2022-08-01 05:10:00;18.18;3.07;0.0;0;8.0;0.0;13.11
2022-08-01 05:20:00;18.18;3.64;0.0;0;8.0;0.0;13.03
2022-08-01 05:30:00;18.17;2.63;0.0;0;8.0;0.0;13.59
2022-08-01 05:40:00;18.15;3.22;0.0;0;8.0;0.0;13.38
2022-08-01 05:50:00;18.11;3.45;0.0;0;8.0;0.0;13.23
2022-08-01 06:00:00;18.06;3.26;0.0;0;8.0;0.0;13.34
2022-08-01 06:10:00;18.01;2.72;0.0;0;8.0;0.0;13.62
2022-08-01 06:20:00;17.87;3.67;0.0;4;8.0;0.0;12.99
2022-08-01 06:30:00;17.57;3.3;0.0;7;8.0;0.0;13.16
2022-08-01 06:40:00;17.71;4.31;0.0;0;8.0;0.0;13.18
2022-08-01 06:50:00;17.85;3.49;0.0;0;8.0;0.0;14.03
2022-08-01 07:00:00;17.96;3.97;0.0;0;8.0;0.0;13.81
